,Question,Answer,Category,Article,Topic
289,"How many people were reported killed in the Israeli airstrike on the Holy Family School in Gaza City?
a) 4
b) 16
c) 50
d) 70",a,Quantitative Questions,"CNN —  An Israeli airstrike in Gaza City killed a senior official in the Hamas-run government Sunday, according to the organization.
 
Hamas said that Ehab al-Ghussein, the Deputy Minister of Labor, was among four people killed by an Israeli airstrike on the Holy Family School in Gaza City.
  
Ad Feedback
  The Israeli military has said it carried out strikes in the area, saying it targeted “a complex inside of which terrorists were operating and hiding in the area of a school building in Gaza City.”
“Civil Defense crews in Gaza Governorate were able to retrieve four martyrs and a number of injured individuals after Israeli occupation aircraft targeted the ‘Holy Family' school, which houses a large number of displaced persons west of Gaza City,” the Civil Defense Directorate said.
  
It added that “numerous steps were taken in order to mitigate the risk of harming civilians, including the use of precise aerial surveillance and additional intelligence.”
  This comes as another Israeli attack on a school in Gaza has killed at least 16 Palestinians and injured 50 others, according to the Palestinian Ministry of Health.",Palestine-Isreal
290,"What steps did the Israeli military claim to have taken before carrying out the airstrike on the Holy Family School in Gaza City?

a) They conducted a full evacuation of the school.
b) They employed precise aerial surveillance and additional intelligence to mitigate civilian harm.
c) They informed the local authorities before the attack.
d) They called for a ceasefire prior to the airstrike.",b,Procedural Questions,"CNN —  An Israeli airstrike in Gaza City killed a senior official in the Hamas-run government Sunday, according to the organization.
 
Hamas said that Ehab al-Ghussein, the Deputy Minister of Labor, was among four people killed by an Israeli airstrike on the Holy Family School in Gaza City.
  
Ad Feedback
  The Israeli military has said it carried out strikes in the area, saying it targeted “a complex inside of which terrorists were operating and hiding in the area of a school building in Gaza City.”
“Civil Defense crews in Gaza Governorate were able to retrieve four martyrs and a number of injured individuals after Israeli occupation aircraft targeted the ‘Holy Family' school, which houses a large number of displaced persons west of Gaza City,” the Civil Defense Directorate said.
  
It added that “numerous steps were taken in order to mitigate the risk of harming civilians, including the use of precise aerial surveillance and additional intelligence.”
  This comes as another Israeli attack on a school in Gaza has killed at least 16 Palestinians and injured 50 others, according to the Palestinian Ministry of Health.",Palestine-Isreal
291,What has the UN report accused Israeli authorities of in relation to Palestinian detainees? a) Unbiased treatment b) Violating international human rights law c) Fair legal representation d) Overseeing fair detention facilities,b,Event-based Questions,"Israel may have tortured Palestinian prisoners - UN

Israeli authorities have said they are investigating allegations of abuse at the Sde Teiman detention facility

The report also documents the suffering Israeli hostages say they endured while held by Hamas.
The report is sure to anger Israeli Prime Minister Benjamin Netanyahu’s government, which insists its troops are upholding international law in Gaza, and has long claimed the UN is biased against Israel.


Mr Türk said the testimonies in the report indicated a ""flagrant violation of international human rights law and international humanitarian law.""

Detaining people indefinitely, denying them access to lawyers or any contact with their families or humanitarian organisations could, the UN says, amount to the international crime of enforced disappearance.


Human rights defenders have raised concerns about the detention facilities some detainees are being held in, with both Israeli whistleblowers and released detainees alleging widespread mistreatment of Palestinian prisoners.


The UN report calls on all parties to the conflict to ""immediately end all forms of arbitrary detention, including the holding of hostages, as well as torture or other ill-treatment, rape and other forms of gender-based violence, and ensure accountability for serious violations and abuses"".",Palestine-Isreal
292,"Where have allegations of prisoner abuse been reported according to the UN article? 
a) Tel Aviv 
b) Sde Teiman 
c) Jerusalem 
d) Hebron",b,Location-based Questions,"Israel may have tortured Palestinian prisoners - UN

Israeli authorities have said they are investigating allegations of abuse at the Sde Teiman detention facility

The report also documents the suffering Israeli hostages say they endured while held by Hamas.
The report is sure to anger Israeli Prime Minister Benjamin Netanyahu’s government, which insists its troops are upholding international law in Gaza, and has long claimed the UN is biased against Israel.


Mr Türk said the testimonies in the report indicated a ""flagrant violation of international human rights law and international humanitarian law.""

Detaining people indefinitely, denying them access to lawyers or any contact with their families or humanitarian organisations could, the UN says, amount to the international crime of enforced disappearance.


Human rights defenders have raised concerns about the detention facilities some detainees are being held in, with both Israeli whistleblowers and released detainees alleging widespread mistreatment of Palestinian prisoners.


The UN report calls on all parties to the conflict to ""immediately end all forms of arbitrary detention, including the holding of hostages, as well as torture or other ill-treatment, rape and other forms of gender-based violence, and ensure accountability for serious violations and abuses"".",Palestine-Isreal
293,"What is the primary cause mentioned in the UN report for labeling Israeli detention practices as a violation of international laws? 

a) The mistreatment of detainees at Sde Teiman
b) The indefinite detention without access to legal counsel
c) The holding of hostages by Hamas
d) The establishment of new detention facilities",b,Causal Questions,"Israel may have tortured Palestinian prisoners - UN

Israeli authorities have said they are investigating allegations of abuse at the Sde Teiman detention facility

The report also documents the suffering Israeli hostages say they endured while held by Hamas.
The report is sure to anger Israeli Prime Minister Benjamin Netanyahu’s government, which insists its troops are upholding international law in Gaza, and has long claimed the UN is biased against Israel.


Mr Türk said the testimonies in the report indicated a ""flagrant violation of international human rights law and international humanitarian law.""

Detaining people indefinitely, denying them access to lawyers or any contact with their families or humanitarian organisations could, the UN says, amount to the international crime of enforced disappearance.


Human rights defenders have raised concerns about the detention facilities some detainees are being held in, with both Israeli whistleblowers and released detainees alleging widespread mistreatment of Palestinian prisoners.


The UN report calls on all parties to the conflict to ""immediately end all forms of arbitrary detention, including the holding of hostages, as well as torture or other ill-treatment, rape and other forms of gender-based violence, and ensure accountability for serious violations and abuses"".",Palestine-Isreal
294,"Which group has been primarily accused of the mistreatment of Palestinian prisoners in the UN report?

a) The Palestinian Authority
b) Hamas
c) Israeli authorities
d) Human rights organizations",c,People/Actor-based Questions,"Israel may have tortured Palestinian prisoners - UN

Israeli authorities have said they are investigating allegations of abuse at the Sde Teiman detention facility

The report also documents the suffering Israeli hostages say they endured while held by Hamas.
The report is sure to anger Israeli Prime Minister Benjamin Netanyahu’s government, which insists its troops are upholding international law in Gaza, and has long claimed the UN is biased against Israel.


Mr Türk said the testimonies in the report indicated a ""flagrant violation of international human rights law and international humanitarian law.""

Detaining people indefinitely, denying them access to lawyers or any contact with their families or humanitarian organisations could, the UN says, amount to the international crime of enforced disappearance.


Human rights defenders have raised concerns about the detention facilities some detainees are being held in, with both Israeli whistleblowers and released detainees alleging widespread mistreatment of Palestinian prisoners.


The UN report calls on all parties to the conflict to ""immediately end all forms of arbitrary detention, including the holding of hostages, as well as torture or other ill-treatment, rape and other forms of gender-based violence, and ensure accountability for serious violations and abuses"".",Palestine-Isreal
295,"What actions did the UN report urge parties in the conflict to cease immediately? 
a) Trading prisoners for political gain 
b) Engaging in arbitrary detention and torture 
c) Holding press conferences about the conflict 
d) Offering humanitarian support",B,Qualitative Reasoning,"Israel may have tortured Palestinian prisoners - UN

Israeli authorities have said they are investigating allegations of abuse at the Sde Teiman detention facility

The report also documents the suffering Israeli hostages say they endured while held by Hamas.
The report is sure to anger Israeli Prime Minister Benjamin Netanyahu’s government, which insists its troops are upholding international law in Gaza, and has long claimed the UN is biased against Israel.


Mr Türk said the testimonies in the report indicated a ""flagrant violation of international human rights law and international humanitarian law.""

Detaining people indefinitely, denying them access to lawyers or any contact with their families or humanitarian organisations could, the UN says, amount to the international crime of enforced disappearance.


Human rights defenders have raised concerns about the detention facilities some detainees are being held in, with both Israeli whistleblowers and released detainees alleging widespread mistreatment of Palestinian prisoners.


The UN report calls on all parties to the conflict to ""immediately end all forms of arbitrary detention, including the holding of hostages, as well as torture or other ill-treatment, rape and other forms of gender-based violence, and ensure accountability for serious violations and abuses"".",Palestine-Isreal
296,"What does the UN report call for regarding the treatment of detainees in the conflict? 
a) Increased military support to detention facilities
b) Immediate cessation of arbitrary detention and ill-treatment
c) Expansion of detention facilities
d) Increased funding for detention center maintenance",b,Procedural Questions,"Israel may have tortured Palestinian prisoners - UN

Israeli authorities have said they are investigating allegations of abuse at the Sde Teiman detention facility

The report also documents the suffering Israeli hostages say they endured while held by Hamas.
The report is sure to anger Israeli Prime Minister Benjamin Netanyahu’s government, which insists its troops are upholding international law in Gaza, and has long claimed the UN is biased against Israel.


Mr Türk said the testimonies in the report indicated a ""flagrant violation of international human rights law and international humanitarian law.""

Detaining people indefinitely, denying them access to lawyers or any contact with their families or humanitarian organisations could, the UN says, amount to the international crime of enforced disappearance.


Human rights defenders have raised concerns about the detention facilities some detainees are being held in, with both Israeli whistleblowers and released detainees alleging widespread mistreatment of Palestinian prisoners.


The UN report calls on all parties to the conflict to ""immediately end all forms of arbitrary detention, including the holding of hostages, as well as torture or other ill-treatment, rape and other forms of gender-based violence, and ensure accountability for serious violations and abuses"".",Palestine-Isreal
297," How do the concerns raised by human rights defenders compare to the Israeli government's stance on the treatment of Palestinian prisoners?

A. Human rights defenders claim widespread mistreatment, while the Israeli government maintains they are upholding international law.
B. Both human rights defenders and the Israeli government agree on the mistreatment of prisoners.
C. Human rights defenders are focused solely on legal representation, while the Israeli government is concerned with food and medical supplies.
D. Both human rights defenders and the Israeli government deny any issues in the treatment of prisoners.
",a,Comparative Questions,"Israel may have tortured Palestinian prisoners - UN

Israeli authorities have said they are investigating allegations of abuse at the Sde Teiman detention facility

The report also documents the suffering Israeli hostages say they endured while held by Hamas.
The report is sure to anger Israeli Prime Minister Benjamin Netanyahu’s government, which insists its troops are upholding international law in Gaza, and has long claimed the UN is biased against Israel.


Mr Türk said the testimonies in the report indicated a ""flagrant violation of international human rights law and international humanitarian law.""

Detaining people indefinitely, denying them access to lawyers or any contact with their families or humanitarian organisations could, the UN says, amount to the international crime of enforced disappearance.


Human rights defenders have raised concerns about the detention facilities some detainees are being held in, with both Israeli whistleblowers and released detainees alleging widespread mistreatment of Palestinian prisoners.


The UN report calls on all parties to the conflict to ""immediately end all forms of arbitrary detention, including the holding of hostages, as well as torture or other ill-treatment, rape and other forms of gender-based violence, and ensure accountability for serious violations and abuses"".",Palestine-Isreal
298,"What major event led to the resignation of the head of Israel’s military intelligence directorate?
  A) Financial scandal
  B) Failed rescue operation
  C) Breach of border defenses by militants
  D) Natural disaster",c,Event-based Questions,"The head of Israel’s military intelligence directorate has resigned over the failures surrounding Hamas’s unprecedented attack on 7 October, the military said, becoming the first senior figure to step down over his role in the deadliest assault in Israel’s history.


Maj Gen Aharon Haliva’s resignation sets the stage for what is expected to be further fallout from Israel’s top security brass over Hamas’s attack, when militants breached border defences, rampaged through Israeli communities unchallenged for hours and killed 1,200 people, most civilians, while taking about 250 hostages.


The Israeli military said in a statement that Haliva had asked to end his service “following his leadership responsibility’.

Shortly after the war, Haliva had publicly said that as head of the military department responsible for providing the government and the military with intelligence warnings and daily alerts, he shouldered blame for not preventing the assault.


Haliva, as well as other military and security leaders, were widely expected to resign in response to the glaring failures that led up to the 7 October attack.


While Haliva and others have accepted blame for failing to stop the attack, others have stopped short, most notably Benjamin Netanyahu, the Israeli prime minister, who has said he will answer tough questions about his role but has not acknowledged outright any responsibility for allowing the attack to happen.",Palestine-Isreal
299,"Where did the unprecedented attack by Hamas take place that led to significant military leadership changes in Israel? 
a) Gaza Strip 
b) West Bank 
c) Israeli border communities 
d) Jerusalem",c,Location-based Questions,"The head of Israel’s military intelligence directorate has resigned over the failures surrounding Hamas’s unprecedented attack on 7 October, the military said, becoming the first senior figure to step down over his role in the deadliest assault in Israel’s history.


Maj Gen Aharon Haliva’s resignation sets the stage for what is expected to be further fallout from Israel’s top security brass over Hamas’s attack, when militants breached border defences, rampaged through Israeli communities unchallenged for hours and killed 1,200 people, most civilians, while taking about 250 hostages.


The Israeli military said in a statement that Haliva had asked to end his service “following his leadership responsibility’.

Shortly after the war, Haliva had publicly said that as head of the military department responsible for providing the government and the military with intelligence warnings and daily alerts, he shouldered blame for not preventing the assault.


Haliva, as well as other military and security leaders, were widely expected to resign in response to the glaring failures that led up to the 7 October attack.


While Haliva and others have accepted blame for failing to stop the attack, others have stopped short, most notably Benjamin Netanyahu, the Israeli prime minister, who has said he will answer tough questions about his role but has not acknowledged outright any responsibility for allowing the attack to happen.",Palestine-Isreal
300,"What was the reason behind Maj Gen Aharon Haliva's resignation from the Israeli military?
a) He was promoted to a higher rank.
b) He accepted a government position.
c) He took responsibility for intelligence failures.
d) He retired for health-related reasons.
",c,Causal Questions,"The head of Israel’s military intelligence directorate has resigned over the failures surrounding Hamas’s unprecedented attack on 7 October, the military said, becoming the first senior figure to step down over his role in the deadliest assault in Israel’s history.


Maj Gen Aharon Haliva’s resignation sets the stage for what is expected to be further fallout from Israel’s top security brass over Hamas’s attack, when militants breached border defences, rampaged through Israeli communities unchallenged for hours and killed 1,200 people, most civilians, while taking about 250 hostages.


The Israeli military said in a statement that Haliva had asked to end his service “following his leadership responsibility’.

Shortly after the war, Haliva had publicly said that as head of the military department responsible for providing the government and the military with intelligence warnings and daily alerts, he shouldered blame for not preventing the assault.


Haliva, as well as other military and security leaders, were widely expected to resign in response to the glaring failures that led up to the 7 October attack.


While Haliva and others have accepted blame for failing to stop the attack, others have stopped short, most notably Benjamin Netanyahu, the Israeli prime minister, who has said he will answer tough questions about his role but has not acknowledged outright any responsibility for allowing the attack to happen.",Palestine-Isreal
301,"Who was the first senior figure to resign over his perceived role during the Hamas attack on 7 October in Israel? 
a) Benjamin Netanyahu 
b) Maj Gen Aharon Haliva 
c) Gadi Eizenkot 
d) Aviv Kochavi",b,People/Actor-based Questions,"The head of Israel’s military intelligence directorate has resigned over the failures surrounding Hamas’s unprecedented attack on 7 October, the military said, becoming the first senior figure to step down over his role in the deadliest assault in Israel’s history.


Maj Gen Aharon Haliva’s resignation sets the stage for what is expected to be further fallout from Israel’s top security brass over Hamas’s attack, when militants breached border defences, rampaged through Israeli communities unchallenged for hours and killed 1,200 people, most civilians, while taking about 250 hostages.


The Israeli military said in a statement that Haliva had asked to end his service “following his leadership responsibility’.

Shortly after the war, Haliva had publicly said that as head of the military department responsible for providing the government and the military with intelligence warnings and daily alerts, he shouldered blame for not preventing the assault.


Haliva, as well as other military and security leaders, were widely expected to resign in response to the glaring failures that led up to the 7 October attack.


While Haliva and others have accepted blame for failing to stop the attack, others have stopped short, most notably Benjamin Netanyahu, the Israeli prime minister, who has said he will answer tough questions about his role but has not acknowledged outright any responsibility for allowing the attack to happen.",Palestine-Isreal
302,"On what date did the unprecedented attack by Hamas take place, prompting the resignation of Israel's head of military intelligence? 
a) 5th October 
b) 7th October 
c) 9th October 
d) 11th October",b,Temporal Questions,"The head of Israel’s military intelligence directorate has resigned over the failures surrounding Hamas’s unprecedented attack on 7 October, the military said, becoming the first senior figure to step down over his role in the deadliest assault in Israel’s history.


Maj Gen Aharon Haliva’s resignation sets the stage for what is expected to be further fallout from Israel’s top security brass over Hamas’s attack, when militants breached border defences, rampaged through Israeli communities unchallenged for hours and killed 1,200 people, most civilians, while taking about 250 hostages.


The Israeli military said in a statement that Haliva had asked to end his service “following his leadership responsibility’.

Shortly after the war, Haliva had publicly said that as head of the military department responsible for providing the government and the military with intelligence warnings and daily alerts, he shouldered blame for not preventing the assault.


Haliva, as well as other military and security leaders, were widely expected to resign in response to the glaring failures that led up to the 7 October attack.


While Haliva and others have accepted blame for failing to stop the attack, others have stopped short, most notably Benjamin Netanyahu, the Israeli prime minister, who has said he will answer tough questions about his role but has not acknowledged outright any responsibility for allowing the attack to happen.",Palestine-Isreal
303,"How many hostages were taken during the Hamas attack on October 7? 
a) 100
b) 150
c) 200
d) 250",D,Quantitative Questions,"The head of Israel’s military intelligence directorate has resigned over the failures surrounding Hamas’s unprecedented attack on 7 October, the military said, becoming the first senior figure to step down over his role in the deadliest assault in Israel’s history.


Maj Gen Aharon Haliva’s resignation sets the stage for what is expected to be further fallout from Israel’s top security brass over Hamas’s attack, when militants breached border defences, rampaged through Israeli communities unchallenged for hours and killed 1,200 people, most civilians, while taking about 250 hostages.


The Israeli military said in a statement that Haliva had asked to end his service “following his leadership responsibility’.

Shortly after the war, Haliva had publicly said that as head of the military department responsible for providing the government and the military with intelligence warnings and daily alerts, he shouldered blame for not preventing the assault.


Haliva, as well as other military and security leaders, were widely expected to resign in response to the glaring failures that led up to the 7 October attack.


While Haliva and others have accepted blame for failing to stop the attack, others have stopped short, most notably Benjamin Netanyahu, the Israeli prime minister, who has said he will answer tough questions about his role but has not acknowledged outright any responsibility for allowing the attack to happen.",Palestine-Isreal
304,"How did Maj Gen Aharon Haliva acknowledge his role in the attack's failure? 
  A. By holding a press conference 
  B. By releasing a public statement 
  C. By resigning from his position 
  D. By blaming other departments",c,Procedural Questions,"The head of Israel’s military intelligence directorate has resigned over the failures surrounding Hamas’s unprecedented attack on 7 October, the military said, becoming the first senior figure to step down over his role in the deadliest assault in Israel’s history.


Maj Gen Aharon Haliva’s resignation sets the stage for what is expected to be further fallout from Israel’s top security brass over Hamas’s attack, when militants breached border defences, rampaged through Israeli communities unchallenged for hours and killed 1,200 people, most civilians, while taking about 250 hostages.


The Israeli military said in a statement that Haliva had asked to end his service “following his leadership responsibility’.

Shortly after the war, Haliva had publicly said that as head of the military department responsible for providing the government and the military with intelligence warnings and daily alerts, he shouldered blame for not preventing the assault.


Haliva, as well as other military and security leaders, were widely expected to resign in response to the glaring failures that led up to the 7 October attack.


While Haliva and others have accepted blame for failing to stop the attack, others have stopped short, most notably Benjamin Netanyahu, the Israeli prime minister, who has said he will answer tough questions about his role but has not acknowledged outright any responsibility for allowing the attack to happen.",Palestine-Isreal
305,"Which of the following leaders has not outright accepted responsibility for the failures during the 7 October attack, compared to others who have?
  A) Maj Gen Aharon Haliva
  B) Benjamin Netanyahu
  C) Military intelligence leaders
  D) Security leaders",b,Comparative Questions,"The head of Israel’s military intelligence directorate has resigned over the failures surrounding Hamas’s unprecedented attack on 7 October, the military said, becoming the first senior figure to step down over his role in the deadliest assault in Israel’s history.


Maj Gen Aharon Haliva’s resignation sets the stage for what is expected to be further fallout from Israel’s top security brass over Hamas’s attack, when militants breached border defences, rampaged through Israeli communities unchallenged for hours and killed 1,200 people, most civilians, while taking about 250 hostages.


The Israeli military said in a statement that Haliva had asked to end his service “following his leadership responsibility’.

Shortly after the war, Haliva had publicly said that as head of the military department responsible for providing the government and the military with intelligence warnings and daily alerts, he shouldered blame for not preventing the assault.


Haliva, as well as other military and security leaders, were widely expected to resign in response to the glaring failures that led up to the 7 October attack.


While Haliva and others have accepted blame for failing to stop the attack, others have stopped short, most notably Benjamin Netanyahu, the Israeli prime minister, who has said he will answer tough questions about his role but has not acknowledged outright any responsibility for allowing the attack to happen.",Palestine-Isreal
306,"Who was reportedly responsible for the death of Hamas leader Ismail Haniyeh, according to the Hamas statement? 
a) Iran's Revolutionary Guards 
b) Israel 
c) United States 
d) Syrian Government",b,Event-based Questions,"Hamas political leader Ismail Haniyeh has been killed in Iran.
Here’s what we know so far:

Hamas leader Ismail Haniyeh has been killed, according to Hamas and Iran’s Revolutionary Guards.
Israel has yet to make any comment on Haniyeh’s killing but in its statement, Hamas accused Israel of the attack.
The Hamas statement said the group mourned Haniyeh “who died as a result of a treacherous Zionist raid on his residence in Tehran, after participating in the inauguration ceremony of the new Iranian president”.


In a statement, Iran’s Revolutionary Guards said “The cause and dimensions of this incident are being investigated and the results will be announced later.”

Iran’s Revolutionary Guards said Haniyeh had been targeted in his residence along with an Iranian bodyguard.",Palestine-Isreal
307,"Where was Hamas leader Ismail Haniyeh killed ? 
a) Beirut 
b) Tehran 
c) Jerusalem 
d) Gaza",b,Location-based Questions,"Hamas political leader Ismail Haniyeh has been killed in Iran.
Here’s what we know so far:

Hamas leader Ismail Haniyeh has been killed, according to Hamas and Iran’s Revolutionary Guards.
Israel has yet to make any comment on Haniyeh’s killing but in its statement, Hamas accused Israel of the attack.
The Hamas statement said the group mourned Haniyeh “who died as a result of a treacherous Zionist raid on his residence in Tehran, after participating in the inauguration ceremony of the new Iranian president”.


In a statement, Iran’s Revolutionary Guards said “The cause and dimensions of this incident are being investigated and the results will be announced later.”

Iran’s Revolutionary Guards said Haniyeh had been targeted in his residence along with an Iranian bodyguard.",Palestine-Isreal
308,"What was the alleged cause of Hamas leader Ismail Haniyeh's death, according to the Hamas statement? 
a) Car accident
b) Natural causes
c) Treacherous raid by Zionist forces
d) Heart attack",c,Causal Questions,"Hamas political leader Ismail Haniyeh has been killed in Iran.
Here’s what we know so far:

Hamas leader Ismail Haniyeh has been killed, according to Hamas and Iran’s Revolutionary Guards.
Israel has yet to make any comment on Haniyeh’s killing but in its statement, Hamas accused Israel of the attack.
The Hamas statement said the group mourned Haniyeh “who died as a result of a treacherous Zionist raid on his residence in Tehran, after participating in the inauguration ceremony of the new Iranian president”.


In a statement, Iran’s Revolutionary Guards said “The cause and dimensions of this incident are being investigated and the results will be announced later.”

Iran’s Revolutionary Guards said Haniyeh had been targeted in his residence along with an Iranian bodyguard.",Palestine-Isreal
309,"Who has been accused by Hamas of carrying out the attack on Ismail Haniyeh? 
a) Iran 
b) Israeli government 
c) Revolutionary Guards 
d) United States",b,People/Actor-based Questions,"Hamas political leader Ismail Haniyeh has been killed in Iran.
Here’s what we know so far:

Hamas leader Ismail Haniyeh has been killed, according to Hamas and Iran’s Revolutionary Guards.
Israel has yet to make any comment on Haniyeh’s killing but in its statement, Hamas accused Israel of the attack.
The Hamas statement said the group mourned Haniyeh “who died as a result of a treacherous Zionist raid on his residence in Tehran, after participating in the inauguration ceremony of the new Iranian president”.


In a statement, Iran’s Revolutionary Guards said “The cause and dimensions of this incident are being investigated and the results will be announced later.”

Iran’s Revolutionary Guards said Haniyeh had been targeted in his residence along with an Iranian bodyguard.",Palestine-Isreal
310,"How was Haniyeh's death attributed to Israel?
  - A. Through eyewitness accounts
  - B. Via intercepted communications
  - C. Through a statement by Hamas
  - D. By forensic evidence",c,Procedural Questions,"Hamas political leader Ismail Haniyeh has been killed in Iran.
Here’s what we know so far:

Hamas leader Ismail Haniyeh has been killed, according to Hamas and Iran’s Revolutionary Guards.
Israel has yet to make any comment on Haniyeh’s killing but in its statement, Hamas accused Israel of the attack.
The Hamas statement said the group mourned Haniyeh “who died as a result of a treacherous Zionist raid on his residence in Tehran, after participating in the inauguration ceremony of the new Iranian president”.


In a statement, Iran’s Revolutionary Guards said “The cause and dimensions of this incident are being investigated and the results will be announced later.”

Iran’s Revolutionary Guards said Haniyeh had been targeted in his residence along with an Iranian bodyguard.",Palestine-Isreal
311,"How have Iran's Revolutionary Guards' responses to Haniyeh's death differed from Hamas' responses?
    A. Iran dismissed the incident while Hamas supported Israel.
    B. Iran blamed an internal issue, while Hamas accused Israel.
    C. Iran is investigating the incident, while Hamas directly accused Israel.
    D. Both Iran and Hamas directly blamed Israel.",c,Comparative Questions,"Hamas political leader Ismail Haniyeh has been killed in Iran.
Here’s what we know so far:

Hamas leader Ismail Haniyeh has been killed, according to Hamas and Iran’s Revolutionary Guards.
Israel has yet to make any comment on Haniyeh’s killing but in its statement, Hamas accused Israel of the attack.
The Hamas statement said the group mourned Haniyeh “who died as a result of a treacherous Zionist raid on his residence in Tehran, after participating in the inauguration ceremony of the new Iranian president”.


In a statement, Iran’s Revolutionary Guards said “The cause and dimensions of this incident are being investigated and the results will be announced later.”

Iran’s Revolutionary Guards said Haniyeh had been targeted in his residence along with an Iranian bodyguard.",Palestine-Isreal
312,"What security measures has Indiana University implemented for upcoming graduation ceremonies? 
a) Banning entry to all protests
b) Conducting security screenings and banning protests
c) Designating protest areas and conducting security screenings
d) Hiring private security firms to manage protestors",c,Event-based Questions,"CNN —

Madelyn Gamble’s journey to graduation at Indiana University has been bookended by forces beyond her control.


Hear Biden's full remarks on nationwide protests erupting across college campuses 03:08 - Source: CNN

There will be a designated area for protests outside ceremony venues, the University of Michigan said on its website, noting all commencement events will include security screenings, prohibit banners and flags, and be monitored by volunteers who will immediately “respond to disruptions, beginning with warnings.”

“Deans and directors will generally be patient with lawful disruptions,” said the university, where police in March arrested 40 people for trespassing after protesters forced entry to a locked building.
In Gamble’s case, she and her family don’t plan to attend Friday’s main commencement ceremony after Indiana University Police and Indiana State Police last week arrested more than 30 protesters at an encampment on the Bloomington campus.


The university said it will instead host “new activities and celebrations” to ensure graduation events are “meaningful, memorable and uniquely USC.”

‘Just looking for a positive moment’

Video Ad Feedback See police move onto Columbia University campus 02:28 - Source: CNN

Across the country, at Columbia University in New York, hundreds of police officers on Tuesday night moved onto campus, clearing pro-Palestinian demonstrators who had occupied and barricaded themselves in Hamilton Hall.
Madelyn Gamble

Staffers ready to ‘respond to disruptions’

In a message to graduates and their families, Indiana University this week said it has implemented additional security measures and will have designated areas for protests outside the ceremonies.

",Palestine-Isreal
313,"Where were pro-Palestinian demonstrators cleared by police officers? 
a) University of Southern California
b) University of Michigan
c) Columbia University
d) Indiana University",c) Columbia University,Location-based Questions,"CNN —

Madelyn Gamble’s journey to graduation at Indiana University has been bookended by forces beyond her control.


Hear Biden's full remarks on nationwide protests erupting across college campuses 03:08 - Source: CNN

There will be a designated area for protests outside ceremony venues, the University of Michigan said on its website, noting all commencement events will include security screenings, prohibit banners and flags, and be monitored by volunteers who will immediately “respond to disruptions, beginning with warnings.”

“Deans and directors will generally be patient with lawful disruptions,” said the university, where police in March arrested 40 people for trespassing after protesters forced entry to a locked building.
In Gamble’s case, she and her family don’t plan to attend Friday’s main commencement ceremony after Indiana University Police and Indiana State Police last week arrested more than 30 protesters at an encampment on the Bloomington campus.


The university said it will instead host “new activities and celebrations” to ensure graduation events are “meaningful, memorable and uniquely USC.”

‘Just looking for a positive moment’

Video Ad Feedback See police move onto Columbia University campus 02:28 - Source: CNN

Across the country, at Columbia University in New York, hundreds of police officers on Tuesday night moved onto campus, clearing pro-Palestinian demonstrators who had occupied and barricaded themselves in Hamilton Hall.
Madelyn Gamble

Staffers ready to ‘respond to disruptions’

In a message to graduates and their families, Indiana University this week said it has implemented additional security measures and will have designated areas for protests outside the ceremonies.

",Palestine-Isreal
314,"What led to Madelyn Gamble and her family deciding not to attend the main commencement ceremony at Indiana University? 
a) Campus renovations 
b) Health concerns 
c) Arrests during a protest 
d) Bad weather forecasts",c,Causal Questions,"CNN —

Madelyn Gamble’s journey to graduation at Indiana University has been bookended by forces beyond her control.


Hear Biden's full remarks on nationwide protests erupting across college campuses 03:08 - Source: CNN

There will be a designated area for protests outside ceremony venues, the University of Michigan said on its website, noting all commencement events will include security screenings, prohibit banners and flags, and be monitored by volunteers who will immediately “respond to disruptions, beginning with warnings.”

“Deans and directors will generally be patient with lawful disruptions,” said the university, where police in March arrested 40 people for trespassing after protesters forced entry to a locked building.
In Gamble’s case, she and her family don’t plan to attend Friday’s main commencement ceremony after Indiana University Police and Indiana State Police last week arrested more than 30 protesters at an encampment on the Bloomington campus.


The university said it will instead host “new activities and celebrations” to ensure graduation events are “meaningful, memorable and uniquely USC.”

‘Just looking for a positive moment’

Video Ad Feedback See police move onto Columbia University campus 02:28 - Source: CNN

Across the country, at Columbia University in New York, hundreds of police officers on Tuesday night moved onto campus, clearing pro-Palestinian demonstrators who had occupied and barricaded themselves in Hamilton Hall.
Madelyn Gamble

Staffers ready to ‘respond to disruptions’

In a message to graduates and their families, Indiana University this week said it has implemented additional security measures and will have designated areas for protests outside the ceremonies.

",Palestine-Isreal
